Glacier-specific geodetic mass balance (m w.e. a-1) 2000_2020/ according to Hugonnet et al. (2021)
ID=1: measured, ID=2: regional mean
RGI-ID  Area  lat  lon  B  errB  ID
RGI60-02.05157   469.87461   51.502363 -125.950195   -1.247    0.117  1
RGI60-02.12428   153.40403   51.320956 -125.337123   -0.684    0.090  1
RGI60-02.03578   136.78339   51.066582 -124.610003   -0.785    0.107  1
RGI60-02.03586   131.04911   51.152486 -124.624235   -0.704    0.102  1
RGI60-02.02636    81.91525   50.821561 -123.638700   -0.942    0.107  1
RGI60-02.06492    73.26222   52.013696 -126.147753   -0.705    0.097  1
RGI60-02.02606    71.58998   50.868319 -123.792005   -0.751    0.099  1
RGI60-02.06482    66.35332   51.944514 -125.962128   -1.074    0.120  1
RGI60-02.04379    58.89532   51.343219 -125.135561   -0.562    0.098  1
RGI60-02.05156    57.66365   51.356029 -125.966408   -0.675    0.107  1
RGI60-02.05169    56.87969   51.476923 -126.181205   -0.775    0.108  1
RGI60-02.01346    52.33642   50.356886 -123.366561   -1.029    0.119  1
RGI60-02.02405    51.32494   50.757596 -123.891956   -0.921    0.114  1
RGI60-02.06488    51.10699   51.937440 -126.085807   -0.360    0.093  1
RGI60-02.02360    45.86109   50.793570 -124.309730   -0.533    0.114  1
RGI60-02.06860    43.92008   52.168950 -117.865894   -0.302    0.112  1
RGI60-02.04363    40.61426   51.280484 -125.156452   -0.217    0.088  1
RGI60-02.04403    40.59660   51.416430 -125.252835   -0.594    0.106  1
RGI60-02.01441    39.04141   50.501114 -123.753914   -0.952    0.122  1
RGI60-02.05515    37.94954   51.729855 -116.881490   -0.549    0.123  1
RGI60-02.02386    36.18445   50.741914 -123.791880   -0.888    0.114  1
RGI60-02.06859    33.95778   52.177903 -117.759225   -0.310    0.122  1
RGI60-02.06486    33.78432   51.999234 -126.238227   -0.657    0.110  1
RGI60-02.05122    33.25007   51.257734 -125.923080   -0.344    0.100  1
RGI60-02.04415    32.86435   51.026050 -125.266982   -0.451    0.096  1
RGI60-02.06929    30.36208   52.142146 -117.242663   -0.854    0.135  1
RGI60-02.12437    29.95973   52.165654 -117.366192   -0.092    0.125  1
RGI60-02.02424    29.78832   50.793796 -124.027171   -0.965    0.139  1
RGI60-02.04406    29.48144   51.170763 -125.334664   -0.335    0.096  1
RGI60-02.01470    28.60873   50.541765 -123.885151   -0.482    0.101  1
