Glacier-specific geodetic mass balance (m w.e. a-1) 2000_2020/ according to Hugonnet et al. (2021)
ID=1: measured, ID=2: regional mean
RGI-ID  Area  lat  lon  B  errB  ID
RGI60-10.02000    37.29671   49.143799   87.873096   -0.507    0.120  1
RGI60-10.04181    33.69442   57.841816  160.563481   -0.821    0.121  1
RGI60-10.04024    33.46229   56.110623  160.600648   -0.302    0.084  1
RGI60-10.01997    23.93824   49.107229   87.802159   -0.585    0.135  1
RGI60-10.03999    23.59343   56.041388  160.535863   -0.195    0.088  1
RGI60-10.03529    18.05561   58.217303  160.934881   -0.697    0.131  1
RGI60-10.04017    17.93696   56.117417  160.453674   -0.344    0.095  1
RGI60-10.04132    17.16713   57.946460  160.679497   -0.564    0.127  1
RGI60-10.04146    17.00110   58.038256  160.739579   -0.725    0.122  1
RGI60-10.01111    16.66938   49.822453   86.646486   -0.311    0.143  1
RGI60-10.03553    15.75799   58.257934  160.896203   -0.173    0.108  1
RGI60-10.04266    15.29920   57.471480  160.412756   -0.737    0.133  1
RGI60-10.03545    15.13598   58.156489  160.848105   -0.647    0.129  1
RGI60-10.01836    14.70734   49.787077   87.760793   -0.273    0.120  1
RGI60-10.01840    14.18574   49.807743   87.696493   -0.365    0.123  1
RGI60-10.01106    13.70143   49.828290   86.561130   -0.334    0.149  1
RGI60-10.04406    13.55395   54.777857  161.709061   -1.807    0.204  1
RGI60-10.01120    13.22220   49.797462   86.515041   -0.154    0.131  1
RGI60-10.03541    11.65997   58.187280  160.908468   -0.265    0.127  1
RGI60-10.01115     9.78661   49.783264   86.581627    0.158    0.144  1
RGI60-10.04020     9.42097   56.127604  160.561002   -0.331    0.106  1
RGI60-10.01114     9.41867   49.783896   86.624033   -0.169    0.136  1
RGI60-10.01996     9.39997   49.097655   87.903644   -0.476    0.148  1
RGI60-10.01994     9.37824   49.159704   87.786194   -0.428    0.123  1
RGI60-10.04019     9.27504   56.089086  160.414887   -0.343    0.111  1
RGI60-10.01999     9.01815   49.080657   87.867269   -0.254    0.144  1
RGI60-10.03162     8.75787   65.229386  146.063470   -0.809    0.174  1
RGI60-10.05151     8.36313   50.072268   87.598699   -0.200    0.133  1
RGI60-10.04018     8.23251   56.137831  160.494174   -0.374    0.112  1
RGI60-10.04358     7.91843   54.833878  161.802940   -1.409    0.189  1
RGI60-10.03971     7.74068   56.694991  159.612703   -0.498    0.137  1
RGI60-10.04148     7.71922   58.064897  160.784799   -0.719    0.148  1
RGI60-10.01468     7.71382   49.084476   87.429012   -0.437    0.139  1
RGI60-10.01466     7.69727   49.110816   87.349539   -0.635    0.143  1
RGI60-10.01837     7.54342   49.824873   87.648524   -0.449    0.136  1
RGI60-10.01993     7.48195   49.084090   87.725346   -0.599    0.134  1
RGI60-10.01459     6.93101   49.119719   87.307585   -0.548    0.137  1
RGI60-10.03488     6.62642   55.679996  157.685556   -0.462    0.143  1
RGI60-10.01738     6.58856   50.034027   87.710573   -0.691    0.152  1
RGI60-10.03547     6.50180   58.149956  160.798156   -0.626    0.143  1
RGI60-10.02102     6.48795   48.958704   87.565141   -0.481    0.133  1
RGI60-10.04149     6.44377   58.040974  160.815337   -0.550    0.161  1
RGI60-10.04364     6.39355   54.816633  161.883503   -1.508    0.200  1
RGI60-10.03195     6.16868   65.170195  145.978486   -0.789    0.175  1
RGI60-10.01472     6.12235   49.122517   87.259286   -0.508    0.147  1
RGI60-10.03476     6.00614   55.707633  157.732203   -0.567    0.140  1
RGI60-10.01728     5.88431   50.057838   87.667809   -0.275    0.136  1
RGI60-10.01458     5.83240   49.105235   87.387208   -0.471    0.141  1
RGI60-10.01729     5.80176   50.111237   87.678558   -0.151    0.141  1
RGI60-10.01726     5.76204   50.074220   87.654575   -0.404    0.144  1
RGI60-10.03546     5.73987   58.208408  160.850364   -0.269    0.129  1
RGI60-10.02713     5.66948   48.609735   90.892645   -0.536    0.131  1
RGI60-10.01737     5.66348   50.080601   87.695988   -0.424    0.137  1
RGI60-10.02461     5.60871   49.734120   87.929651   -0.616    0.141  1
RGI60-10.03392     5.53986   62.072023  141.329368   -0.872    0.166  1
RGI60-10.01988     5.24785   49.182866   87.802277   -0.273    0.129  1
RGI60-10.04335     5.18431   54.835864  161.874372   -1.583    0.222  1
RGI60-10.01995     5.18283   49.071672   87.829598   -0.654    0.170  1
RGI60-10.01843     5.17677   49.770599   87.819771   -0.552    0.142  1
RGI60-10.03263     5.11750   62.581732  140.845715   -0.795    0.159  1
RGI60-10.02677     4.99382   48.691621   90.742806   -0.291    0.130  1
RGI60-10.01122     4.94525   49.793829   86.668942   -0.105    0.155  1
RGI60-10.04162     4.94412   57.929953  160.734417   -0.226    0.135  1
RGI60-10.02874     4.82706   49.569418   91.355826   -0.770    0.169  1
RGI60-10.03348     4.81298   62.394485  141.300695   -0.912    0.201  1
RGI60-10.02875     4.80728   49.551159   91.375031   -0.853    0.171  1
RGI60-10.04130     4.74902   57.905034  160.626606   -0.595    0.142  1
RGI60-10.01121     4.74609   49.806942   86.715695   -0.474    0.175  1
RGI60-10.03548     4.74042   58.228046  161.009551   -0.374    0.146  1
RGI60-10.02680     4.72286   48.679795   90.765347   -0.308    0.131  1
RGI60-10.03876     4.71332   53.601403  159.112338   -0.213    0.120  1
RGI60-10.03700     4.69331   58.588254  161.039381   -0.450    0.139  1
RGI60-10.03252     4.64385   62.615718  140.973428   -0.598    0.152  1
RGI60-10.01733     4.55428   50.043185   87.599268   -0.225    0.135  1
RGI60-10.03524     4.49416   58.202978  160.999584   -0.368    0.140  1
RGI60-10.04359     4.47187   54.813911  161.817915   -1.581    0.216  1
RGI60-10.01735     4.40841   50.058841   87.711143   -0.324    0.149  1
RGI60-10.04137     4.31875   58.086174  160.739923   -0.738    0.170  1
RGI60-10.01989     4.31005   49.078161   87.943042   -0.623    0.165  1
RGI60-10.01966     4.29660   49.047264   87.846556   -0.695    0.171  1
RGI60-10.02654     4.18338   48.655824   90.876382   -0.563    0.149  1
RGI60-10.01990     4.11053   49.186551   87.843574   -0.342    0.140  1
RGI60-10.04180     4.10955   57.868874  160.632976   -0.584    0.170  1
RGI60-10.01842     4.09085   49.826692   87.601335   -0.523    0.157  1
RGI60-10.04274     4.05540   57.361599  160.264279   -0.644    0.188  1
RGI60-10.03550     4.01030   58.177498  160.791768   -0.453    0.144  1
RGI60-10.01460     3.93481   49.105713   87.213135   -0.408    0.162  1
RGI60-10.03402     3.92760   62.059172  141.370155   -0.707    0.155  1
RGI60-10.02126     3.92265   48.961199   87.629892   -0.612    0.148  1
RGI60-10.03264     3.92147   62.588314  140.870648   -0.962    0.164  1
RGI60-10.02306     3.90039   50.267303   90.150457   -0.507    0.154  1
RGI60-10.03295     3.88673   62.728944  140.649373   -0.945    0.188  1
RGI60-10.04856     3.88102   61.538601  172.024786   -1.273    0.183  1
RGI60-10.01462     3.85560   49.104231   87.292009   -0.490    0.150  1
RGI60-10.02127     3.77927   48.981264   87.598834   -0.351    0.140  1
RGI60-10.02751     3.75428   46.903188   91.500228   -0.512    0.156  1
